lokalizacja,opis,cena,do_wynajecia_przez,wspoldzielenie,wielkosc,liczba_pokoi,rodzaj_nieruchomosci,preferowana_plec,palacy,przyjazne_zwierzakom,liczba_wyrazow
Bielany,"Wynajme pokój umeblowany/kanapa ikea, szafa, biurko/Do metra stare bielany jest 5 minut.W mieszkaniu jest nowa pralka bosch, lodówka side by side, zmywarka, mikrofalówka.Koło domu sklepy;Lidl, Biedronka.Obok domu przystanki autobusowe.",1000,Właściciel,Współdzielenie mieszkania/domu,80,4 pokoje,Mieszkanie,Kobieta,Nie,Nie,32
"Kraków, Małopolskie","Kuchnia , łazienka, duży pokój, umeblowane, zadbane ( 35 m2) dla 1 lub 2 osób .  Na parterze prywatnego domu, wspólna klatka schodowa. Duży ogród, miejsce parkingowe. Al. 29 Listopada, okolica Kuznicy Kołłątajowskiej, autobus 169, 137 , 115, do centrum. 1200zł w tym media. Kontakt ; 512-076-640, (12) 415-02-13",1200,Właściciel,Nie podano,35,Kawalerka lub garsoniera,Mieszkanie,Bez preferencji,Nie,Tak,48
"Kraków, Małopolskie","Szukam współlokatorki do współdzielenia pokoju, dwuosobowego. Mieszkanie jest dopiero co po remoncie, w nowym bloku z windą na 4 piętrze, na dobrze strzeżonym osiedlu, pokój wyposażony jest w dwa łóżka, dwa biurka, komodę z szafkami i szufladami, szafę. Pokój ten posiada też spory balkon o wymiarach 1, 5 m na 6 m, kuchnia posiada zmywarkę, płytę indukcyjną, stolik z dwoma krzesłami, lodówkę. W łazience znajduje się pralka. Do wyposażenia mieszkania wchodzi też odkurzacz, deska do prasowania itp.Cena:- 500zł czynsz- 150 zł media ( w zaokrągleniu )- nie ponosi się opłat za wakacjeOprócz mnie w mieszkaniu jest też kolega (w osobnym pokoju), mieszkanie znajduje się blisko centrum (10 min), droga na przystanek wynosi jakieś 2 minuty, zaraz na przeciwko bloku znajduje się biedronka, 5 min nad Wisłę, Kazimierz. Wygodny dojazd praktycznie wszędzie. Osoby zainteresowane proszę o kontakt pod numer 537 751 089",650,Właściciel,Współdzielenie pokoju,45,2 pokoje,Mieszkanie,Kobieta,Nie,Nie,139
"Kraków, Małopolskie","Do wynajęcia pokój 2 osobowy dla spokojnych, szanujących ciszę, nie imprezujących dziewczyn/studentek w przytulnym mieszkaniu na Ruczaju ul. Zbrojarzy (piechotą 10 minut na Kampus UJ!!). Pokój jest przestronny z balkonem (na zdjęciach osoby są w trakcie wyprowadzki). Mieszkanie jest w pełni wyposażone. Dostępny od zaraz.Cena od osoby to tylko 550 zł. W pobliżu znajdują się sklepy: Biedronka, Lidl, Żabka. Blisko do komunikacji miejskiej, przystanki: Sanktuarium Bożego Miłosierdzia, Rostworowskiego, Lipińskiego.Zapraszam do kontaktu :)",550,Właściciel,Współdzielenie mieszkania/domu,52,2 pokoje,Mieszkanie,Kobieta,Nie,Tak,72
"Kraków, Małopolskie","Pragnę zaoferować duży, umeblowany, wyremontowany, jasny, 2-osobowy pokój w wysokim standardzie do wynajęcia dla studentek, niedaleko UEk. Mieszkanie mieści się w bezpiecznej i cichej okolicy w dzielnicy Śródmieście (centrum), pieszo 5 min od UEk, 10 min od Dworca Głównego i Rynku. W okolicy znajdują się banki, poczta, sklepy przystanki komunikacji miejskiej. W mieszkaniu znajdują się 3 pokoje, aneks kuchenny, łazienka i ubikacja osobno. Mieszkanie jest umeblowane z dostępem do mediów. Czynsz to 600 zł / os. miesięcznie. Jeśli jesteś zainteresowany zadzwoń i umów się na spotkanie. Serdecznie zapraszam do osobistego oglądania.",600,Właściciel,Współdzielenie pokoju,25,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,91
"Kraków, Małopolskie","Do wynajęcia - na zasadzie współdzielenia - miejsce w słonecznym, dwuosobowym pokoju, zlokalizowanym w 3-pokojowym mieszkaniu, którego pozostałe pokoje są również wynajmowane (łącznie dla 5 studentek). Mieszkanie ma doskonałą lokalizację przy pętli Krowodrza  Górka, co gwarantuje znakomitą komunikację z całym miastem. Mieszkanie usytuowane na 5-tym piętrze budynku jest w doskonałym stanie.  Do dyspozycji jest wszystko, co potrzebne jest do wygodnego życia. Gwarantuje też bardzo dobre warunki do nauki i zapewnia bardzo miłe zamieszkiwanie z pozostałymi, studiującymi osobami. Do mieszkania doprowadzony jest internet. Miesięczny koszt wynajmu (czynsz) to 440 zł. Koszt tzw. mediów łącznie z internetem to około 140 - 160 zł (w zależności od pory roku).  Zapraszam do zapoznania się z moją propozycją wynajmu, tak dla poznania mieszkania, jak i osób już wynajmujących pokoje.",440,Właściciel,Współdzielenie pokoju,11,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,123
"Kraków, Małopolskie","Wynajmę pokój 2-osobowy przy ulicy Kuźnicy Kołłątajowskiej 15C.
Oddzielna, jasna kuchnia i łazienka z wielkim lustrem. Mieszkanie jest czyste, ciepłe, jasne, w pełni umeblowane i wyposażone. Znajduje się na parterze w szeregowym domu 4 piętrowym. Mamy taras :)
Ogrzewanie centralne.
Najbliższe przystanki (Słomczyńskiego, Aleja 29 listopada).
Linie autobusowe: 115, 137, 169, 637
Mieszkanie odnowione w zeszłym roku.
W kuchni lodówka z zamrażarką, kuchenka gazowa, czajnik, mikrofalówka, kubki, sztućce, garnki, noże, wszystko co jest niezbędne aby zamieszkać.Jest też wanna i pralka.
Pokój w umeblowany.
Cena 475 zł./os. !!!!! (1900 zł za całe mieszkanie, dzielone na 4 lokatorów)  media już wliczone w cenę. W okresie wakacji cena jest mniejsza.Jeden z pokoi zajmuje miły pracujący student (docelowo będzie tam jeszcze jeden chłopak), szukam 2 chłopaków, 2 dziewczyn (wolałbym bez par i miksów).Mieszkanie jest naprawdę fajne, więcej szczegółów przy oglądaniu mieszkania lub na priv.
Kontakt: 886391798 Marek lub  790793784 Magda",475,Właściciel,Współdzielenie mieszkania/domu,50,2 pokoje,Mieszkanie,Bez preferencji,Tak,Nie,147
"Kraków, Małopolskie","Do wynajęcia miejsce w dużym pokoju dwuosobowym, w mieszkaniu 3-pokojowym. Koszt miejsca w pokoju 425zł ( + gaz, prąd, internet). Pokój posiada własny balkon. Jest nieprzechodni. Do wspólnego użytku jest salon z balkonem + aneks kuchenny. Mieszkanie duże i przestronne.Szukamy osób pracujących, dbających o porządek, szanujących zasady współżycia z innymi. Mieszkanie znajduje się na 3-cim piętrze, w nowym budownictwie na monitorowanym, spokojnym osiedlu. W okolicy znajdują się sklepy, park, apteka etc.Więcej informacji na tel.",425,Właściciel,Współdzielenie pokoju,78,3 pokoje,Mieszkanie,Mężczyzna,Tak,Tak,73
"Kraków, Małopolskie","Do wynajęcia miejsce w pokoju 2-lub 3-osoboym w mieszkaniu o powierzchni 70 m2 znajdującym się przy ul. Kościuszki 45 w samym centrum miasta. Pokój idealny dla pary.Pokój ma powierzchnię 25m2. Jest w  pełni umeblowany (łóżka, biurka, krzesła, komody, szafa, regał na książki)Kuchnia wyposażona w dużą lodówkę, mikrofalówkę, płytę indukcyjną. W łazience znajduje sie pralka.Mieszkanie jest po remoncie, wszystkie meble i sprzęty są nowe.Miesce jest doskonale skomunikowane z całym miastem a tym samym z wszystkimi wydziałami krakowskich uczelni. W pobliżu mieszkania znajduj się przystanek autobusowy i tramwajowy. Dojscie do Rynku głównego na piechotę zajmuje ok 10 minut.Cena: 500/550 zł+150 zł (media: woda, prąd, wi-fi).",500,Właściciel,Współdzielenie pokoju,70,2 pokoje,Mieszkanie,Mężczyzna,Nie,Nie,109
"Kraków, Małopolskie","Do wynajęcia od zaraz, pokój jednoosobowy na Prokocimiu, w nowym budownictwie. Pokój o pow. 10 m2, nieprzechodni. Cena za całość wynosi 700zł (wraz z mediami i internetem) - BEZ KAUCJI. Pokój jest umeblowany, a w mieszkaniu do dyspozycji są wszystkie przydatne sprzęty (lodówka, pralka, odkurzacz). Mieszkanie posiada również bardzo dobra komunikację tramwajową i autobusową oraz dwa duże balkony. 
Jeśli nie odbieram, proszę kontaktować się ze mną mailowo.",700,Właściciel,Współdzielenie mieszkania/domu,10,2 pokoje,Mieszkanie,Kobieta,Nie,Tak,66
